,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
Aasiaat,GL,68.71,-52.87,17.73,83,12,2.59,1522710866
Abalak,NE,15.46,6.28,68.4,47,12,3.6,1522711437
Abatskoye,RU,56.29,70.46,16.56,83,8,10.54,1522711353
Abrau-Dyurso,RU,44.7,37.6,46.4,87,56,6.71,1522708200
Abu Zabad,SD,12.35,29.25,65.66,28,0,6.17,1522711374
Acajutla,SV,13.59,-89.83,91.8,55,40,4.7,1522705800
Adrar,DZ,27.87,-0.29,69.8,43,40,18.34,1522710000
Adre,TD,13.47,22.2,67.28,20,0,11.21,1522710925
Agadez,NE,16.97,7.99,67.01,20,0,5.28,1522711380
Agnibilekrou,CI,7.13,-3.2,78.35,80,8,6.51,1522711435
Ahmadpur East,PK,29.14,71.26,74.07,69,36,13.78,1522711361
Airai,TL,-8.93,125.41,77.22,72,0,1.48,1522711270
Aklavik,CA,68.22,-135.01,7.32,60,40,12.75,1522710000
Aksu,KZ,52.04,76.93,28.4,92,90,6.71,1522708200
Albany,US,42.65,-73.75,42.44,28,75,9.17,1522709640
Alenquer,BR,-1.95,-54.74,77,94,40,2.71,1522706400
Algiers,US,29.94,-90.04,78.44,78,75,12.75,1522710900
Alice Springs,AU,-23.7,133.88,73.4,38,0,10.29,1522710000
Alindao,CF,5.04,21.21,72.68,96,12,7.96,1522711470
Aljezur,PT,37.31,-8.8,58.5,98,64,11.43,1522711479
Alta Floresta,BR,-9.87,-56.08,72,98,56,2.15,1522711486
Altamira,BR,-3.2,-52.21,82.4,78,40,3.36,1522706400
Alugan,PH,12.22,125.48,80.73,94,80,10.2,1522711521
Amambai,BR,-23.11,-55.23,73.94,74,44,4.94,1522711491
Amapa,HN,15.09,-87.97,82.4,65,20,16.11,1522710000
Ambilobe,MG,-13.19,49.05,70.11,92,8,3.71,1522711365
Anadyr,RU,64.73,177.51,24.8,85,75,8.95,1522708200
Ancud,CL,-41.87,-73.83,56.25,96,48,3.6,1522710967
Andreapol,RU,56.65,32.27,31.73,99,92,14.67,1522711338
Anori,BR,-3.74,-61.66,77.76,92,36,4.5,1522711337
Antalaha,MG,-14.9,50.28,74.21,100,92,6.62,1522711372
Aranos,NA,-24.14,19.11,69.93,33,88,10.2,1522711464
Araouane,ML,18.9,-3.53,71.24,23,0,3.15,1522711515
Ardakan,IR,32.31,54.02,64.4,23,12,0.69,1522706400
Arieseni,RO,46.48,22.77,30.74,90,0,1.92,1522711459
Aripuana,BR,-9.17,-60.63,74.21,98,24,2.59,1522710776
Arlit,NE,18.74,7.39,71.15,33,20,2.82,1522711472
Arraial do Cabo,BR,-22.97,-42.02,78.8,88,40,4.27,1522706400
Asasa,ET,7.1,39.2,46.71,100,56,2.93,1522711401
Asosa,ET,10.07,34.53,61.38,85,32,2.93,1522710867
Assiniboia,CA,49.63,-105.99,17.46,91,76,9.42,1522711476
Astoria,US,46.19,-123.83,48.2,57,75,14.99,1522709700
Asyut,EG,27.18,31.19,66.2,32,0,16.11,1522710000
Atambua,ID,-9.11,124.89,80.55,100,0,2.93,1522711343
Atar,MR,20.52,-13.05,65.21,31,0,6.4,1522711339
Atasu,KZ,48.68,71.64,16.61,84,12,8.3,1522711223
Atuona,PF,-9.8,-139.03,81.95,100,0,16.35,1522711138
Austin,US,30.27,-97.74,75.36,51,1,12.75,1522709760
Auxerre,FR,47.8,3.58,53.6,66,0,8.05,1522710000
Avarua,CK,-21.21,-159.78,82.4,78,75,5.82,1522710000
Avera,US,33.19,-82.53,79.52,29,1,6.93,1522709700
Aykhal,RU,65.95,111.51,-3.11,59,0,5.73,1522711153
Bahia Blanca,AR,-38.72,-62.27,68.9,64,0,5.95,1522711493
Bambous Virieux,MU,-20.34,57.76,80.6,83,75,4.7,1522706400
Banapur,IN,19.78,85.18,70.7,96,0,1.48,1522711496
Banda Aceh,ID,5.56,95.32,73.94,100,24,1.92,1522711161
Bandarbeyla,SO,9.49,50.81,80.1,100,80,7.4,1522711302
Bandundu,CD,-3.32,17.38,74.93,98,64,6.17,1522711413
Banff,CA,51.18,-115.57,17.01,51,68,2.26,1522711374
Baoding,CN,38.86,115.49,50.9,65,88,18.7,1522711363
Bargur,IN,12.54,78.35,67.5,95,12,2.48,1522711502
Barrow,AR,-38.31,-60.23,59.45,74,0,4.72,1522711143
Bartoszyce,PL,54.25,20.81,26.69,89,0,7.63,1522711408
Batagay,RU,67.65,134.64,28.13,64,64,4.38,1522711153
Batagay-Alyta,RU,67.8,130.41,11.7,81,76,4.16,1522711458
Batemans Bay,AU,-35.71,150.18,64.26,96,48,1.92,1522711463
Bathsheba,BB,13.22,-59.52,77,83,20,13.87,1522710000
Batticaloa,LK,7.71,81.69,75.11,100,12,3.71,1522711402
Bayir,TR,37.27,28.22,51.8,71,0,3.36,1522709400
Baykit,RU,61.68,96.39,3.42,70,12,5.73,1522711388
Beidao,CN,34.57,105.89,47.75,87,0,2.37,1522711469
Beira,ES,43.2,-8.36,51.69,81,20,8.05,1522710000
Belaya Gora,RU,68.54,146.19,25.92,90,0,11.1,1522711478
Belmonte,PT,40.36,-7.35,49.41,98,92,8.63,1522711387
Belyy Yar,RU,53.6,91.39,17.6,85,76,2.71,1522708200
Beringovskiy,RU,63.05,179.32,31.46,100,8,6.4,1522711427
Berlevag,NO,70.86,29.09,28.94,100,80,13.56,1522711403
Bethel,US,60.79,-161.76,30.2,68,1,19.46,1522709580
Bhum,IN,18.47,75.67,68.09,37,0,4.94,1522711331
Biak,ID,-0.91,122.88,80.96,94,8,2.15,1522710866
Bihariganj,IN,25.73,86.98,61.65,91,0,2.82,1522711511
Bilibino,RU,68.06,166.44,31.55,82,36,3.04,1522710799
Bilma,NE,18.69,12.92,61.88,37,36,2.82,1522711332
Biltine,TD,14.53,20.93,68.81,18,0,11.77,1522711379
Bima,ID,-8.45,118.73,79.02,95,0,3.15,1522711371
Binga,ZW,-17.62,27.34,67.95,100,12,1.36,1522711495
Biograd na Moru,HR,43.94,15.45,46.4,93,0,5.82,1522710000
Bireun,ID,5.2,96.7,80.6,100,68,3.94,1522711409
Birin,SY,35.01,36.67,44.6,83,80,4.72,1522711490
Biscarrosse,FR,44.41,-1.18,54.59,81,0,9.17,1522710000
Bismil,TR,37.85,40.66,54.5,47,0,3.36,1522709400
Black River,JM,18.03,-77.85,82.4,61,20,6.93,1522710000
Bluff,AU,-23.58,149.07,79.11,60,24,17.02,1522711140
Boddam,GB,57.47,-1.78,37.4,74,90,10.29,1522709400
Bonavista,CA,48.65,-53.11,30.74,87,76,13.67,1522711406
Bonnyville,CA,54.27,-110.74,26.6,45,75,3.49,1522710000
Borogontsy,RU,62.67,131.17,18.63,73,88,10.65,1522711406
Boueni,YT,-12.9,45.08,78.8,88,0,2.24,1522710000
Bougouni,ML,11.42,-7.49,74.43,68,36,2.26,1522711340
Brae,GB,60.4,-1.35,35.08,100,20,5.82,1522709400
Bredasdorp,ZA,-34.53,20.04,57.2,93,88,3.36,1522706400
Brewster,US,41.76,-70.08,36.95,86,75,2.59,1522708500
Brokopondo,SR,5.06,-54.98,77,94,75,4.7,1522710000
Broome,GB,52.47,1.45,48.9,100,92,10.29,1522709760
Buala,SB,-8.15,159.59,80.15,100,80,3.6,1522711434
Bubaque,GW,11.28,-15.83,75.2,78,0,6.93,1522710000
Bucerias,MX,20.76,-105.33,78.8,69,5,13.87,1522705920
Bulgan,MN,48.81,103.53,6.44,70,0,2.82,1522711422
Buraydah,SA,26.33,43.97,69.8,64,40,4.7,1522706400
Burnie,AU,-41.05,145.91,61.79,100,56,18.25,1522711359
Burns Lake,CA,54.23,-125.76,26.6,45,56,2.93,1522711411
Busayra,JO,30.74,35.61,53.51,85,0,2.15,1522711396
Bushehr,IR,28.97,50.84,71.6,60,0,6.93,1522705800
Busselton,AU,-33.64,115.35,71.69,91,0,12.77,1522710849
Butaritari,KI,3.07,172.79,83.16,99,64,13.56,1522710860
Butler,US,41.43,-84.87,41.61,52,1,4.7,1522710900
Cabo San Lucas,MX,22.89,-109.91,85.68,24,5,27.51,1522705620
Cacoal,BR,-11.43,-61.44,75.51,94,8,2.15,1522711387
Caledon,ZA,-34.23,19.43,61.79,98,36,4.72,1522711520
Camacha,PT,33.08,-16.33,60.8,82,40,10.29,1522710000
Camapua,BR,-19.53,-54.04,69.03,95,68,2.37,1522711398
Cap Malheureux,MU,-19.98,57.61,78.8,88,75,4.7,1522710000
Cape Town,ZA,-33.93,18.42,68,64,0,16.11,1522710000
Capelinha,BR,-17.69,-42.52,71.24,80,0,5.39,1522711249
Carahue,CL,-38.71,-73.16,55.4,100,0,4.16,1522711403
Caravelas,BR,-17.73,-39.27,81.18,100,0,15.79,1522711373
Carbonia,IT,39.17,8.53,53.71,100,0,4.7,1522709700
Carnarvon,ZA,-30.97,22.13,54.9,95,56,4.72,1522711257
Carutapera,BR,-1.2,-46.02,79.43,90,76,7.4,1522711443
Casambalangan,PH,18.38,122.13,77.85,100,32,13,1522711338
Castro,CL,-42.48,-73.76,56.25,97,88,2.59,1522710867
Castro-Urdiales,ES,43.38,-3.22,65.25,48,76,3.36,1522710000
Catalao,BR,-18.17,-47.95,67.5,93,24,2.26,1522711243
Cayenne,GF,4.94,-52.33,78.8,88,80,9.17,1522708200
Celestun,MX,20.87,-90.4,79.88,91,8,21.05,1522711402
Cerro Largo,BR,-28.15,-54.74,65.97,94,44,1.25,1522711228
Chalmette,US,29.94,-89.96,78.51,78,75,12.75,1522710900
Champerico,MX,16.38,-93.6,95,23,40,5.82,1522709400
Chandur Bazar,IN,21.24,77.75,66.51,59,24,1.81,1522711408
Chapais,CA,49.78,-74.86,23,85,90,14.99,1522710180
Chara,GR,39.42,22.43,44.6,81,20,4.7,1522709400
Charters Towers,AU,-20.07,146.27,70.88,95,100,12.21,1522711332
Cherskiy,RU,68.75,161.3,31.95,76,0,7.29,1522711218
Chicama,PE,-7.84,-79.15,69.8,83,75,11.41,1522706400
Chokurdakh,RU,70.62,147.9,17.24,75,0,12.77,1522711221
Choma,ZM,-16.81,26.98,55.35,84,0,4.05,1522711446
Christchurch,NZ,-43.53,172.64,78.8,34,0,9.17,1522710000
Churapcha,RU,62,132.43,20.66,83,92,9.31,1522711388
Chuy,UY,-33.69,-53.46,66.87,97,64,5.17,1522711208
Cidreira,BR,-30.17,-50.22,69.26,95,80,8.3,1522711370
Clyde River,CA,70.47,-68.59,12.2,85,90,20.8,1522710480
Cochrane,CL,-47.25,-72.57,48.29,89,12,2.04,1522711517
Cockburn Town,TC,21.46,-71.14,76.05,100,88,13.67,1522710844
Codrington,AU,-28.95,153.24,71.55,91,92,3.71,1522710907
Codroipo,IT,45.96,12.98,50,87,80,5.82,1522709400
Coffs Harbour,AU,-30.3,153.13,75.2,73,56,9.17,1522710000
Coihaique,CL,-45.58,-72.07,59,94,90,5.82,1522706400
Coihueco,CL,-36.63,-71.83,78.8,44,0,2.24,1522706400
Colares,PT,38.8,-9.45,58.12,87,75,9.17,1522710000
College,US,64.86,-147.8,26.02,38,1,5.82,1522709880
Colorado,BR,-22.84,-51.97,71.06,92,68,4.16,1522711216
Coloso,CO,9.49,-75.36,81.27,74,0,14.56,1522711502
Colquechaca,BO,-18.7,-66,43.56,70,20,2.15,1522711488
Comodoro Rivadavia,AR,-45.87,-67.48,78.8,36,0,20.8,1522706400
Conceicao do Araguaia,BR,-8.26,-49.26,74.39,95,0,2.71,1522711334
Conde,BR,-11.81,-37.61,77.67,90,24,5.84,1522711108
Constitucion,MX,23.99,-104.67,82.4,7,5,13.87,1522708920
Contamana,PE,-7.35,-75.01,75.2,95,24,2.04,1522711347
Coos Bay,US,43.37,-124.22,48.96,61,75,11.41,1522709760
Copiapo,CL,-27.37,-70.33,66.2,55,0,10.29,1522706400
Coquimbo,CL,-29.95,-71.34,64.4,63,0,8.05,1522706400
Corinto,BR,-18.36,-44.46,75.78,70,68,3.38,1522711498
Coro,VE,11.41,-69.67,84.2,66,20,9.31,1522706400
Coruripe,BR,-10.12,-36.18,80.55,98,88,7.96,1522711438
Cuite,BR,-6.48,-36.15,75.65,81,88,8.75,1522711361
Cururupu,BR,-1.82,-44.87,79.79,85,80,6.73,1522711518
Dahod,IN,22.84,74.26,64.26,59,0,3.83,1522711410
Dali,CN,25.6,100.24,43.2,100,8,1.81,1522711426
Danane,CI,7.26,-8.15,71.69,92,56,3.15,1522711473
Dargaville,NZ,-35.94,173.86,71.15,62,12,1.59,1522710922
Darovskoy,RU,58.77,47.96,31.86,90,56,13.89,1522711424
Daru,SL,7.99,-10.85,72.14,95,48,3.49,1522711322
Davila,PH,18.47,120.58,73.4,83,20,4.7,1522710000
Dehui,CN,44.53,125.71,33.8,24,20,8.95,1522706400
Det Udom,TH,14.9,105.08,71.6,88,20,3.36,1522706400
Diapaga,BF,12.07,1.79,73.35,50,0,2.48,1522711379
Dicabisagan,PH,17.08,122.42,73.35,100,100,7.18,1522711153
Diffa,NE,13.32,12.61,69.66,29,0,5.39,1522711487
Dikson,RU,73.51,80.55,4.01,81,44,15.79,1522711324
Dingle,PH,11,122.67,77.09,88,12,6.29,1522710861
Dire,ET,9.18,38.92,49.73,88,44,2.59,1522711318
Djibo,BF,14.1,-1.63,84.42,58,88,2.93,1522711360
Dolores,UY,-33.53,-58.22,70.25,70,36,11.32,1522711435
Dondaicha,IN,21.33,74.56,66.65,58,0,5.06,1522711437
Dongning,CN,44.06,131.12,41.58,41,64,8.75,1522711336
Dongsheng,CN,29.72,112.52,68,93,0,11.32,1522710860
Dromolaxia,CY,34.88,33.59,57.25,76,0,3.36,1522710000
Dudinka,RU,69.41,86.18,-11.21,74,36,5.61,1522711452
Dunedin,NZ,-45.87,170.5,61.61,47,0,13.22,1522710898
East London,ZA,-33.02,27.91,75.15,98,76,12.21,1522710928
East Millcreek,US,40.7,-111.81,42.85,80,90,14.99,1522709880
Eenhana,NA,-17.48,16.34,67.46,88,80,7.63,1522711418
Egvekinot,RU,66.32,-179.17,33.89,90,12,3.04,1522711109
Eirunepe,BR,-6.66,-69.87,78.66,91,64,1.81,1522711530
Ekibastuz,KZ,51.72,75.32,20.88,89,80,9.19,1522711511
El Porvenir,HN,15.75,-86.9,83.43,69,20,11.41,1522710000
El Rosario,MX,22.99,-105.86,80.6,42,5,9.17,1522708980
Emirdag,TR,39.02,31.15,30.06,92,0,2.37,1522711380
Entre Rios,BR,-11.94,-38.08,77.67,90,24,5.84,1522711399
Erdenet,MN,49.03,104.04,5.67,73,0,2.71,1522711340
Erzin,TR,36.95,36.2,56.25,77,40,9.17,1522709400
Esperance,TT,10.24,-61.45,82.4,65,20,13.87,1522706400
Etalle,BE,49.68,5.6,48.2,76,75,6.93,1522709400
Eureka,US,40.8,-124.16,54.9,47,1,17.22,1522709580
Evensk,RU,61.92,159.24,33.75,90,92,13.67,1522711348
Exu,BR,-7.52,-39.72,70.2,89,0,5.06,1522711503
Faanui,PF,-16.48,-151.75,82.31,100,48,12.66,1522711172
Fairbanks,US,64.84,-147.72,26.02,38,1,5.82,1522709880
Falavarjan,IR,32.56,51.51,37.54,28,0,4.7,1522708200
Faya,SA,18.39,42.45,57.2,76,20,5.82,1522706400
Felanitx,ES,39.47,3.15,55.4,82,0,1.12,1522710000
Fernie,CA,49.5,-115.06,28.58,41,75,5.82,1522710000
Fleetwood,US,40.45,-75.82,41.61,70,1,1.03,1522709700
Flin Flon,CA,54.77,-101.88,10.4,32,20,5.82,1522710000
Flinders,AU,-34.58,150.85,64.4,88,75,4.7,1522708200
Floro,NO,61.6,5.03,32,100,0,8.05,1522709400
Fort Nelson,CA,58.81,-122.69,24.8,58,75,9.17,1522710000
Fortuna,ES,38.18,-1.13,53.6,87,0,5.82,1522710000
Galiakot,IN,23.54,74.01,67.46,47,0,4.72,1522711313
Gamba,CN,28.28,88.52,1.13,73,20,1.92,1522711454
Gamboma,CG,-1.87,15.88,71.46,96,88,5.73,1522711489
Gari,RU,59.43,62.35,12.33,69,24,3.27,1522711471
Garowe,SO,8.41,48.48,72.68,86,64,5.61,1522711446
Gat,SN,14.69,-16.54,68,77,0,4.7,1522710000
Gazli,UZ,40.13,63.45,50.9,61,20,11.54,1522711312
Gbarnga,LR,7,-9.47,70.92,98,24,2.15,1522711338
Gedo,ET,9.01,37.45,54,96,68,2.71,1522711411
General Roca,AR,-39.03,-67.58,82.4,37,0,8.05,1522706400
Genhe,CN,50.78,121.52,17.33,40,12,12.44,1522711385
Georgetown,GY,6.8,-58.16,77,94,75,2.24,1522706400
Georgiyevka,RU,52.25,40.45,34.88,91,92,12.44,1522711388
Geraldton,CA,49.72,-86.95,12.2,30,20,5.82,1522710000
Gizo,IL,31.8,34.94,62.67,82,20,3.36,1522709400
Goderich,CA,43.74,-81.71,35.37,62,92,5.5,1522711099
Gornopravdinsk,RU,60.06,69.92,11.39,72,0,5.17,1522711315
Gorontalo,ID,0.54,123.06,78.21,88,8,2.15,1522711358
Gorshechnoye,RU,51.52,38.03,33.03,95,88,7.74,1522711428
Grand Forks,US,47.91,-97.06,21.29,62,75,18.34,1522709700
Grand Gaube,MU,-20.01,57.66,80.6,83,75,4.7,1522706400
Grand-Santi,GF,4.27,-54.38,75.96,93,88,2.15,1522711393
Gravdal,NO,59.79,5.78,30.2,92,56,5.82,1522709400
Grenville,CA,45.62,-74.6,38.35,51,40,4.7,1522710000
Grindavik,IS,63.84,-22.43,32,100,90,13.87,1522708200
Grootfontein,NA,-19.56,18.1,55.26,65,0,4.72,1522711398
Gua Musang,MY,4.88,101.97,71.91,97,92,1.14,1522711382
Guerrero Negro,MX,27.97,-114.04,64.58,65,0,11.32,1522711365
Guilin,CN,25.28,110.29,66.2,93,75,2.24,1522706400
Ha Giang,VN,22.83,104.99,66.11,100,92,1.7,1522710961
Haines Junction,CA,60.75,-137.51,13.23,68,68,6.4,1522711364
Half Moon Bay,US,37.46,-122.43,66.43,71,1,14.99,1522710000
Halifax,CA,44.65,-63.58,32,98,40,9.17,1522710000
Hambantota,LK,6.12,81.12,79.88,100,32,6.73,1522711360
Hamilton,BM,32.3,-64.78,69.8,73,75,4.7,1522706100
Hammerfest,NO,70.66,23.68,24.8,92,75,17.22,1522709400
Hare Bay,CA,48.86,-53.99,28.4,63,20,14.99,1522710000
Hargeysa,SO,9.56,44.06,60.12,97,88,3.04,1522711442
Harper,US,30.3,-99.24,80.02,47,75,8.05,1522709700
Harrisonville,US,38.65,-94.35,35.62,100,90,9.17,1522710480
Harstad,NO,68.8,16.53,20.16,73,48,4.7,1522709400
Hasaki,JP,35.73,140.83,54.93,82,75,6.93,1522708200
Hassleholm,SE,56.16,13.77,26.73,85,48,2.82,1522709400
Hauterive,FR,46.09,3.45,52.74,50,0,19.46,1522710000
Havelock,US,34.88,-76.9,73.35,60,1,16.11,1522709640
Havoysund,NO,71,24.66,24.8,92,75,17.22,1522709400
Havre-Saint-Pierre,CA,50.23,-63.6,23,67,40,10.29,1522710000
Hawick,GB,55.42,-2.78,33.31,93,90,20.8,1522709400
Hayden,US,47.77,-116.79,43.86,33,90,6.93,1522709760
Hearst,CA,49.69,-83.67,10.31,53,48,5.84,1522711320
Henties Bay,NA,-22.12,14.28,69.44,90,92,4.94,1522711350
Hermanus,ZA,-34.42,19.24,61.79,98,36,4.72,1522711160
Hervey Bay,AU,-25.3,152.85,77.63,90,92,15.79,1522711472
Heze,CN,35.25,115.45,67.91,83,0,8.3,1522711322
Hienghene,NC,-20.68,164.93,78.57,100,100,21.27,1522711466
High Level,CA,58.52,-117.13,23,49,75,12.75,1522710000
High Rock,BS,26.63,-78.28,77,73,75,13,1522710000
Highland Park,US,40.5,-74.42,40.77,65,1,3.94,1522710900
Hilo,US,19.71,-155.08,82.4,58,75,9.17,1522709580
Hinton,CA,53.4,-117.57,23.45,46,44,3.15,1522711477
Hithadhoo,MV,-0.6,73.08,84.15,100,80,7.4,1522711208
Hobart,AU,-42.88,147.33,62.6,55,75,12.75,1522710000
Hofn,IS,64.25,-15.21,26.6,100,0,17.25,1522711317
Hoquiam,US,46.98,-123.89,51.03,53,75,18.34,1522709580
Hornepayne,CA,49.22,-84.78,16.83,59,64,4.83,1522711456
Houma,CN,35.63,111.36,58.01,56,0,2.15,1522711413
Hualmay,PE,-11.1,-77.61,69.35,77,48,4.27,1522711230
Huarmey,PE,-10.07,-78.15,70.79,63,56,3.38,1522711301
Husavik,CA,50.56,-96.99,7.34,83,0,9.75,1522711384
Hyeres,FR,43.12,6.14,54.45,76,0,13.87,1522710000
Iguala,MX,18.34,-99.54,89.6,19,75,2.24,1522709220
Ilulissat,GL,69.22,-51.1,15.8,78,0,5.82,1522709400
Imamoglu,TR,37.26,35.66,54.57,76,0,3.36,1522709400
Imeni Poliny Osipenko,RU,52.42,136.49,28.13,61,68,7.74,1522711332
